Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2943","Meat","2016","2016","1000 t","45","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2943","Meat","2018","2018","1000 t","31","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","5301","Domestic supply quantity","S2943","Meat","2016","2016","1000 t","362","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","5301","Domestic supply quantity","S2943","Meat","2018","2018","1000 t","323","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2016","2016","kg","10.45","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2018","2018","kg","8.8","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","674","Protein supply quantity (g/capita/day)","S2943","Meat","2016","2016","g/cap/d","4.67","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","674","Protein supply quantity (g/capita/day)","S2943","Meat","2018","2018","g/cap/d","3.94","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2943","Meat","2016","2016","1000 t","37","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2943","Meat","2018","2018","1000 t","19","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5301","Domestic supply quantity","S2943","Meat","2016","2016","1000 t","126","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5301","Domestic supply quantity","S2943","Meat","2018","2018","1000 t","114","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2016","2016","kg","43.86","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2018","2018","kg","39.76","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","674","Protein supply quantity (g/capita/day)","S2943","Meat","2016","2016","g/cap/d","18.99","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","674","Protein supply quantity (g/capita/day)","S2943","Meat","2018","2018","g/cap/d","17.26","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5611","Import Quantity","S2943","Meat","2016","2016","1000 t","91","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5611","Import Quantity","S2943","Meat","2018","2018","1000 t","68","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5301","Domestic supply quantity","S2943","Meat","2016","2016","1000 t","860","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5301","Domestic supply quantity","S2943","Meat","2018","2018","1000 t","842","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2016","2016","kg","21.34","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2018","2018","kg","20.09","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","674","Protein supply quantity (g/capita/day)","S2943","Meat","2016","2016","g/cap/d","9.41","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","674","Protein supply quantity (g/capita/day)","S2943","Meat","2018","2018","g/cap/d","8.87","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","5611","Import Quantity","S2943","Meat","2016","2016","1000 t","362","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","5611","Import Quantity","S2943","Meat","2018","2018","1000 t","481","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","5301","Domestic supply quantity","S2943","Meat","2016","2016","1000 t","650","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","5301","Domestic supply quantity","S2943","Meat","2018","2018","1000 t","787","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2016","2016","kg","22.28","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2018","2018","kg","25.17","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","674","Protein supply quantity (g/capita/day)","S2943","Meat","2016","2016","g/cap/d","9.4","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","674","Protein supply quantity (g/capita/day)","S2943","Meat","2018","2018","g/cap/d","10.68","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","5611","Import Quantity","S2943","Meat","2016","2016","1000 t","8","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","5611","Import Quantity","S2943","Meat","2018","2018","1000 t","11","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","5301","Domestic supply quantity","S2943","Meat","2016","2016","1000 t","9","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","5301","Domestic supply quantity","S2943","Meat","2018","2018","1000 t","11","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2016","2016","kg","67.75","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2018","2018","kg","86.71","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","S2943","Meat","2016","2016","g/cap/d","29.94","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","S2943","Meat","2018","2018","g/cap/d","38.3","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5611","Import Quantity","S2943","Meat","2016","2016","1000 t","47","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5611","Import Quantity","S2943","Meat","2018","2018","1000 t","85","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5301","Domestic supply quantity","S2943","Meat","2016","2016","1000 t","4993","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","5301","Domestic supply quantity","S2943","Meat","2018","2018","1000 t","5334","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2016","2016","kg","108.67","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2018","2018","kg","113.68","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","674","Protein supply quantity (g/capita/day)","S2943","Meat","2016","2016","g/cap/d","46.67","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","674","Protein supply quantity (g/capita/day)","S2943","Meat","2018","2018","g/cap/d","48.72","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","5611","Import Quantity","S2943","Meat","2016","2016","1000 t","37","E","Estimated value"
