Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2734","Poultry Meat","2016","2016","1000 t","37","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2734","Poultry Meat","2018","2018","1000 t","25","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5301","Domestic supply quantity","S2734","Poultry Meat","2016","2016","1000 t","69","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5301","Domestic supply quantity","S2734","Poultry Meat","2018","2018","1000 t","53","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","2016","2016","kg","2","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","2018","2018","kg","1.46","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2016","2016","g/cap/d","0.9","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2018","2018","g/cap/d","0.66","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2734","Poultry Meat","2016","2016","1000 t","27","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2734","Poultry Meat","2018","2018","1000 t","12","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5301","Domestic supply quantity","S2734","Poultry Meat","2016","2016","1000 t","39","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5301","Domestic supply quantity","S2734","Poultry Meat","2018","2018","1000 t","27","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","2016","2016","kg","13.63","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","2018","2018","kg","9.51","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2016","2016","g/cap/d","6.2","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2018","2018","g/cap/d","4.29","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","5611","Import Quantity","S2734","Poultry Meat","2016","2016","1000 t","3","I","Imputed value"
"FBS","Food Balances (2010-)","012","Algeria","5611","Import Quantity","S2734","Poultry Meat","2018","2018","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","012","Algeria","5301","Domestic supply quantity","S2734","Poultry Meat","2016","2016","1000 t","294","I","Imputed value"
"FBS","Food Balances (2010-)","012","Algeria","5301","Domestic supply quantity","S2734","Poultry Meat","2018","2018","1000 t","286","I","Imputed value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","2016","2016","kg","7.3","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","2018","2018","kg","6.81","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2016","2016","g/cap/d","3.33","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2018","2018","g/cap/d","3.1","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","5611","Import Quantity","S2734","Poultry Meat","2016","2016","1000 t","217","I","Imputed value"
"FBS","Food Balances (2010-)","024","Angola","5611","Import Quantity","S2734","Poultry Meat","2018","2018","1000 t","335","I","Imputed value"
"FBS","Food Balances (2010-)","024","Angola","5301","Domestic supply quantity","S2734","Poultry Meat","2016","2016","1000 t","257","I","Imputed value"
"FBS","Food Balances (2010-)","024","Angola","5301","Domestic supply quantity","S2734","Poultry Meat","2018","2018","1000 t","376","I","Imputed value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","2016","2016","kg","8.8","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","2018","2018","kg","12.04","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2016","2016","g/cap/d","3.99","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2018","2018","g/cap/d","5.45","E","Estimated value"
